,StockCode,InvoiceDate,Description,Quantity,Price,Revenue
767,21907,2010-03-03 12:21:00,I'M ON HOLIDAY METAL SIGN,187,2.1,392.70000000000005
768,21908,2009-12-08 16:40:00,CHOCOLATE THIS WAY METAL SIGN,1956,2.00625,3663.6000000000004
769,21910,2010-04-26 10:42:00,WAY OUT METAL SIGN ,24,1.65,39.599999999999994
770,21911,2010-03-15 12:14:00,GARDEN METAL SIGN ,108,1.65,178.2
771,21912,2009-12-10 10:29:00,VINTAGE SNAKES & LADDERS,462,3.7405263157894733,1654.74
772,21913,2010-01-07 12:34:00,VINTAGE SEASIDE JIGSAW PUZZLES,242,3.7223076923076923,838.38
773,21914,2010-04-13 13:40:00,BLUE HARMONICA IN BOX ,834,1.25,1042.5
774,21915,2010-04-13 13:40:00,RED  HARMONICA IN BOX ,834,1.25,1042.5
775,21916,2010-02-21 12:50:00,SET 12 RETRO WHITE CHALK STICKS,104,0.42000000000000004,43.68
776,21917,2010-07-16 14:41:00,SET 12 KIDS  WHITE CHALK STICKS,24,0.42,10.08
777,21918,2009-12-15 12:00:00,SET 12 KIDS COLOUR  CHALK STICKS,534,0.42,224.28
778,21922,2010-05-09 13:00:00,UNION STRIPE WITH FRINGE  HAMMOCK,31,7.95,246.45
779,21923,2010-02-02 10:47:00,RED/CREAM STRIPE FRINGE HAMMOCK,4,7.95,31.8
780,21924,2010-02-02 10:47:00,BLUE/CREAM STRIPE FRINGE HAMMOCK,4,7.95,31.8
781,21928,2010-01-07 12:34:00,JUMBO BAG SCANDINAVIAN PAISLEY,479,1.9072727272727272,815.35
782,21929,2009-12-16 10:51:00,JUMBO BAG PINK VINTAGE PAISLEY,426,1.956,743.69
783,21931,2009-12-16 10:51:00,JUMBO STORAGE BAG SUKI,118,1.97,232.7
784,21932,2010-01-07 12:34:00,SCANDINAVIAN PAISLEY PICNIC BAG,396,2.3227272727272728,957.2
785,21933,2010-01-07 12:34:00,PINK VINTAGE PAISLEY PICNIC BAG,351,2.6166666666666667,876.45
786,21934,2010-09-30 14:46:00,SKULL SHOULDER BAG,20,1.65,33.0
787,21935,2010-08-23 10:38:00,SUKI  SHOULDER BAG,40,1.65,66.0
788,21936,2010-01-07 12:34:00,RED/WHITE SPOT PICNIC BAG,420,2.9289473684210527,1119.0
789,21937,2010-01-07 12:34:00,STRAWBERRY   PICNIC BAG,340,2.892857142857143,883.0
790,21942,2010-05-06 17:22:00,SKULLS DESIGN FLANNEL,36,0.85,30.599999999999998
791,21943,2010-05-06 17:22:00,CAKES AND RABBITS DESIGN FLANNEL ,12,0.85,10.2
792,21944,2010-05-06 17:22:00,KITTENS DESIGN FLANNEL,36,0.85,30.599999999999998
793,21945,2010-01-28 12:36:00,STRAWBERRIES  DESIGN FLANNEL ,60,0.85,51.0
794,21946,2010-05-06 17:22:00,PARTY TIME DESIGN FLANNEL,12,0.85,10.2
795,21947,2009-12-16 10:51:00,SET OF 6 HEART CHOPSTICKS,36,1.25,45.0
796,21948,2010-01-21 08:47:00,SET OF 6 CAKE CHOPSTICKS,24,1.25,30.0
797,21949,2011-06-13 10:36:00,SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0
798,21955,2010-03-25 13:15:00,DOOR MAT UNION JACK GUNS AND ROSES,2,7.49,14.98
799,21967,2010-05-06 17:22:00,PACK OF 12 SKULL TISSUES,48,0.29,13.919999999999998
800,21972,2011-05-16 08:16:00,SET OF 36 DINOSAUR PAPER DOILIES,24,1.45,34.8
801,21973,2010-05-13 09:33:00,SET OF 36 MUSHROOM PAPER DOILIES,24,1.45,34.8
802,21974,2010-01-07 12:34:00,SET OF 36 PAISLEY FLOWER DOILIES,552,1.4404761904761905,742.8
803,21975,2009-12-21 13:04:00,PACK OF 60 DINOSAUR CAKE CASES,3336,0.5190476190476191,1507.2
804,21976,2009-12-07 13:49:00,PACK OF 60 MUSHROOM CAKE CASES,288,0.55,158.4
805,21977,2009-12-01 12:33:00,PACK OF 60 PINK PAISLEY CAKE CASES,4188,0.5314285714285715,1960.2
806,21980,2010-01-07 12:34:00,PACK OF 12 RED SPOTTY TISSUES ,984,0.30529411764705877,275.28
807,21981,2010-05-09 12:49:00,PACK OF 12 WOODLAND TISSUES ,168,0.29,48.71999999999999
808,21982,2010-03-22 11:21:00,PACK OF 12 SUKI TISSUES ,336,0.29,97.43999999999998
809,21983,2010-01-07 12:34:00,PACK OF 12 BLUE PAISLEY TISSUES ,768,0.2975,207.83999999999997
810,21984,2010-01-07 12:34:00,PACK OF 12 PINK PAISLEY TISSUES ,948,0.2871428571428571,257.64
811,21985,2010-01-07 12:34:00,PACK OF 12 HEARTS DESIGN TISSUES ,696,0.296,186.95999999999998
812,21986,2010-01-07 12:34:00,PACK OF 12 PINK SPOT TISSUES ,696,0.295,186.95999999999998
813,21987,2010-10-11 09:18:00,PACK OF 6 SKULL PAPER CUPS,12,0.65,7.800000000000001
814,21988,2010-02-17 14:39:00,PACK OF 6 SKULL PAPER PLATES,24,0.85,20.4
815,21989,2010-01-07 19:34:00,PACK OF 20 SKULL PAPER NAPKINS,72,0.85,61.199999999999996
816,21990,2011-07-31 11:45:00,MODERN FLORAL STATIONERY SET,28,1.25,35.0
817,21991,2010-01-21 08:47:00,BOHEMIAN COLLAGE STATIONERY SET,12,2.95,35.400000000000006
818,21992,2009-12-18 13:48:00,VINTAGE PAISLEY STATIONERY SET,69,2.1,121.95000000000002
819,21993,2010-01-21 08:47:00,FLORAL FOLK STATIONERY SET,66,1.9785714285714289,113.10000000000001
820,22023,2010-02-02 13:33:00,EMPIRE BIRTHDAY CARD,12,0.42,5.04
821,22024,2010-01-28 12:36:00,RAINY LADIES BIRTHDAY CARD,96,0.42,40.32
822,22025,2010-02-02 13:33:00,RING OF ROSES BIRTHDAY CARD,96,0.42,40.32
823,22026,2011-11-01 09:24:00,BANQUET BIRTHDAY  CARD  ,12,0.42,5.04
824,22027,2010-02-02 13:33:00,TEA PARTY BIRTHDAY CARD,252,0.42,105.84
825,22028,2010-02-24 09:24:00,PENNY FARTHING BIRTHDAY CARD,228,0.42,95.76
826,22029,2010-02-02 13:33:00,SPACE BOY BIRTHDAY CARD,144,0.42,60.48
827,22030,2010-04-30 11:48:00,SWALLOWS GREETING CARD,324,0.42,136.07999999999998
828,22032,2010-03-30 09:47:00,BOTANICAL LILY GREETING CARD,36,0.42,15.120000000000001
829,22033,2010-05-09 12:49:00,BOTANICAL ROSE GREETING CARD,12,0.42,5.04
830,22034,2010-09-27 14:45:00,ROBIN CHRISTMAS CARD,72,0.42,30.240000000000002
831,22035,2010-01-28 12:36:00,VINTAGE CARAVAN GREETING CARD ,36,0.42,15.120000000000001
832,22037,2010-07-30 12:30:00,ROBOT BIRTHDAY CARD,108,0.42,45.36
833,22038,2010-03-03 12:21:00,BOTANICAL LAVENDER GIFT WRAP ,75,0.42,31.5
834,22039,2010-04-22 14:31:00,BOTANICAL LILY GIFT WRAP,25,0.42,10.5
835,22040,2010-03-03 12:21:00,BOTANICAL ROSE GIFT WRAP,50,0.42,21.0
836,22041,2010-03-03 12:21:00,"RECORD FRAME 7"" SINGLE SIZE ",30,2.55,76.5
837,22042,2010-09-27 14:45:00,CHRISTMAS CARD SINGING ANGEL,60,0.42,25.2
838,22043,2010-09-28 13:13:00,CHRISTMAS CARD SCREEN PRINT ,108,0.282,28.8
839,22044,2010-09-27 14:45:00,CHRISTMAS CARD STACK OF PRESENTS,60,0.26666666666666666,14.16
840,22045,2010-10-03 12:40:00,SPACEBOY GIFT WRAP,325,0.41,124.5
841,22046,2010-01-28 12:36:00,TEA PARTY  WRAPPING PAPER ,325,0.4066666666666667,120.5
842,22048,2010-02-02 13:33:00,BIRTHDAY BANQUET GIFT WRAP,250,0.3933333333333333,89.0
843,22049,2010-09-20 12:15:00,WRAP CHRISTMAS SCREEN PRINT,225,0.2885714285714286,65.75
844,22050,2010-03-25 13:15:00,PINK PAISLEY ROSE GIFT WRAP,25,0.42,10.5
845,22051,2011-04-01 14:45:00,BLUE SCANDINAVIAN PAISLEY WRAP,25,0.42,10.5
846,22052,2010-01-28 12:36:00,VINTAGE CARAVAN GIFT WRAP,75,0.42,31.5
847,22053,2010-05-21 08:21:00,EMPIRE DESIGN ROSETTE,10,1.25,12.5
848,22054,2009-12-16 10:51:00,MINI CAKE STAND HANGING HEARTS,8,1.65,13.2
849,22055,2009-12-16 10:51:00,MINI CAKE STAND  HANGING STRAWBERY,96,1.65,158.39999999999998
850,22057,2010-09-27 10:23:00,CERAMIC PLATE STRAWBERRY DESIGN,40,1.1233333333333333,42.0
851,22058,2010-01-22 09:19:00,CERAMIC LOVE HEARTS DESIGN MUG,12,1.49,17.88
852,22059,2010-11-15 14:26:00,CERAMIC STRAWBERRY DESIGN MUG,48,1.1233333333333333,45.12
853,22060,2009-12-16 10:51:00,LARGE CAKE STAND HANGING HEARTS,14,9.95,139.29999999999998
854,22061,2009-12-11 13:57:00,LARGE CAKE STAND  HANGING STRAWBERY,108,9.7,1010.8
855,22063,2009-12-15 12:00:00,CERAMIC BOWL WITH STRAWBERRY DESIGN,30,2.95,88.50000000000001
856,22064,2010-01-07 12:34:00,PINK DOUGHNUT TRINKET POT ,360,1.5833333333333333,526.8
857,22065,2010-09-21 13:06:00,CHRISTMAS PUDDING TRINKET POT ,228,1.0966666666666667,177.95999999999998
858,22066,2011-11-24 08:44:00,LOVE HEART TRINKET POT,48,0.39,18.72
859,22067,2010-01-07 12:34:00,CHOC TRUFFLE GOLD TRINKET POT ,252,1.5833333333333333,372.59999999999997
860,22069,2010-07-13 13:11:00,BROWN  PIRATE TREASURE CHEST ,12,1.65,19.799999999999997
861,22070,2010-03-15 14:15:00,SMALL RETRO SPOT MUG IN BOX  RED,57,3.75,213.75
862,22071,2010-07-14 09:22:00,SMALL WHITE RETROSPOT MUG IN BOX ,24,3.75,90.0
863,22072,2010-01-07 12:34:00,TEA CUP AND SAUCER RETRO SPOT,264,3.367142857142857,860.88
864,22073,2010-02-17 10:04:00,RETRO SPOT STORAGE JAR,24,3.75,90.0
865,22074,2010-03-22 11:21:00,6 RIBBONS SHIMMERING PINKS ,52,1.65,85.79999999999998
866,22075,2009-12-15 12:00:00,6 RIBBONS ELEGANT CHRISTMAS ,96,1.65,158.39999999999998
867,22076,2009-12-15 12:00:00,6 RIBBONS EMPIRE  ,24,1.65,39.599999999999994
868,22077,2010-03-22 11:21:00,6 RIBBONS RUSTIC CHARM,358,1.6714285714285713,597.8999999999999
869,22078,2010-02-02 10:47:00,RIBBON REEL LACE DESIGN ,175,2.1,367.5
870,22079,2009-12-18 13:01:00,RIBBON REEL HEARTS DESIGN ,355,1.641304347826087,561.75
871,22080,2009-12-01 11:41:00,RIBBON REEL SPOTS DESIGN ,285,1.638235294117647,446.25
872,22081,2010-02-21 12:50:00,RIBBON REEL FLORA + FAUNA ,65,1.65,107.25
873,22082,2009-12-01 11:41:00,RIBBON REEL STRIPES DESIGN ,350,1.6409090909090909,553.5
874,22083,2009-12-01 11:41:00,PAPER CHAIN KIT RETRO SPOT,471,2.905555555555556,1245.45
875,22085,2010-01-28 12:36:00,PAPER CHAIN KIT SKULLS ,18,2.95,53.10000000000001
876,22086,2009-12-01 11:41:00,PAPER CHAIN KIT 50'S CHRISTMAS ,470,2.835714285714286,1258.5
877,22087,2010-02-21 12:50:00,PAPER BUNTING WHITE LACE,96,2.9500000000000006,283.20000000000005
878,22088,2010-02-02 13:33:00,PAPER BUNTING COLOURED LACE,96,2.9500000000000006,283.20000000000005
879,22089,2009-12-01 11:41:00,PAPER BUNTING VINTAGE PAISLEY,336,2.896666666666667,895.1999999999999
880,22090,2010-01-07 12:34:00,PAPER BUNTING RETRO SPOTS,428,2.8772727272727274,1134.6
881,22092,2009-12-18 14:08:00,BLUE PAISLEY TISSUE BOX,84,1.0779999999999998,74.04
882,22093,2010-05-09 12:49:00,MOTORING TISSUE BOX,48,0.8200000000000001,29.04
883,22094,2010-03-25 13:15:00,RED POLKA DOT TISSUE BOX,96,0.8200000000000001,58.08
884,22096,2010-03-12 10:09:00,PINK PAISLEY SQUARE TISSUE BOX ,60,1.1866666666666668,68.16
885,22097,2010-03-12 10:09:00,SWALLOW SQUARE TISSUE BOX,84,0.8200000000000001,43.08
886,22098,2010-11-15 14:26:00,BOUDOIR SQUARE TISSUE BOX,14,1.25,17.5
887,22099,2011-03-04 12:12:00,CARAVAN SQUARE TISSUE BOX,12,1.25,15.0
888,22101,2009-12-07 13:49:00,MIRROR MOSAIC VOTIVE HOLDER,12,2.1,25.200000000000003
889,22102,2011-01-09 16:07:00,MIRROR MOSAIC T-LIGHT HOLDER ,18,1.6499999999999997,29.699999999999996
890,22105,2010-01-21 08:47:00,MIRROR MOSAIC GOBLET CANDLE HOLDER,24,3.75,90.0
891,22106,2010-01-21 08:47:00,MIRROR MOSAIC HURRICANE LAMP ,28,6.35,169.8
892,22107,2009-12-15 12:00:00,PIZZA PLATE IN BOX,28,2.796666666666667,79.24000000000001
893,22108,2009-12-15 14:03:00,PING! MICROWAVE PLATE,8,3.75,30.0
894,22109,2009-12-15 12:00:00,FULL ENGLISH BREAKFAST PLATE,16,3.75,60.0
895,22110,2009-12-15 12:00:00,BIRD HOUSE HOT WATER BOTTLE,170,2.775,419.1
896,22111,2009-12-01 12:30:00,SCOTTIE DOG HOT WATER BOTTLE,370,4.882258064516129,1663.5
897,22112,2009-12-03 18:13:00,CHOCOLATE HOT WATER BOTTLE,487,4.847441860465116,2197.29
898,22113,2010-09-28 13:13:00,GREY HEART HOT WATER BOTTLE,82,3.9285714285714284,319.5
899,22114,2009-12-01 11:41:00,HOT WATER BOTTLE TEA AND SYMPATHY,318,3.955405405405405,1203.3
900,22117,2010-09-27 14:45:00,METAL SIGN HER DINNER IS SERVED ,8,2.95,23.6
901,22118,2010-10-26 13:39:00,JOY WOODEN BLOCK LETTERS,9,4.95,44.550000000000004
902,22119,2010-10-13 13:07:00,PEACE WOODEN BLOCK LETTERS,42,6.325,171.9
903,22120,2009-12-18 13:35:00,WELCOME  WOODEN BLOCK LETTERS,22,9.95,218.89999999999998
904,22121,2009-12-01 11:41:00,NOEL WOODEN BLOCK LETTERS ,54,5.8388888888888895,309.3
905,22122,2009-12-01 11:41:00,SET OF 2 FANCY FONT TEA TOWELS,48,2.95,141.60000000000002
906,22123,2010-10-06 15:58:00,PING MICROWAVE APRON,54,2.66,163.38000000000002
907,22127,2010-01-07 12:34:00,PARTY CONES CARNIVAL ASSORTED,342,1.2120000000000002,370.5
908,22128,2010-01-07 12:34:00,PARTY CONES CANDY ASSORTED,336,1.1866666666666668,363.0
909,22129,2010-01-07 12:34:00,PARTY CONES CANDY TREE DECORATION,300,0.7849999999999999,217.55999999999997
910,22130,2010-09-30 10:29:00,PARTY CONE CHRISTMAS DECORATION ,180,0.85,153.0
911,22131,2010-02-02 13:33:00,FOOD CONTAINER SET 3 LOVE HEART ,72,1.95,140.39999999999998
912,22132,2010-01-25 12:19:00,RED LOVE HEART SHAPE CUP,60,0.85,51.0
913,22133,2010-02-02 13:33:00,PINK LOVE HEART SHAPE CUP,12,0.85,10.2
914,22134,2009-12-16 10:51:00,LADLE LOVE HEART RED ,60,0.42000000000000004,25.2
915,22135,2010-02-02 13:33:00,LADLE LOVE HEART PINK,12,0.42,5.04
916,22136,2010-01-31 14:37:00,LOVE HEART SOCK HANGER,140,1.65,230.99999999999997
917,22137,2010-11-15 14:26:00,BATHROOM SET LOVE HEART DESIGN,12,2.95,35.400000000000006
918,22138,2009-12-07 09:42:00,BAKING SET 9 PIECE RETROSPOT ,673,4.902054794520549,3070.9500000000003
919,22139,2009-12-03 18:13:00,RETRO SPOT TEA SET CERAMIC 11 PC ,292,4.933620689655173,1427.3500000000001
920,22141,2010-12-17 10:46:00,CHRISTMAS CRAFT TREE TOP ANGEL,84,2.1,176.40000000000003
921,22142,2011-11-22 11:04:00,CHRISTMAS CRAFT WHITE FAIRY ,12,1.45,17.4
922,22144,2010-11-26 10:14:00,CHRISTMAS CRAFT LITTLE FRIENDS,60,2.1,126.00000000000001
923,22145,2010-10-03 11:15:00,CHRISTMAS CRAFT HEART STOCKING ,54,2.1,113.4
924,22146,2010-02-02 10:47:00,EASTER CRAFT IVY WREATH WITH CHICK,12,1.95,23.4
925,22147,2010-02-02 10:47:00,FELTCRAFT BUTTERFLY HEARTS,182,1.45,263.9
926,22148,2010-02-02 10:47:00,EASTER CRAFT 4 CHICKS ,72,1.95,140.39999999999998
927,22149,2010-02-24 09:24:00,FELTCRAFT 6 FLOWER FRIENDS,206,2.089130434782609,422.6
928,22150,2010-03-22 11:21:00,3 STRIPEY MICE FELTCRAFT,78,1.95,152.1
929,22151,2009-12-18 13:01:00,PLACE SETTING WHITE HEART,1056,0.42,443.52000000000004
930,22152,2010-09-21 13:06:00,PLACE SETTING WHITE STAR,120,0.42,50.4
931,22153,2010-10-03 11:15:00,ANGEL DECORATION STARS ON DRESS,96,0.42,40.32
932,22154,2010-10-03 11:15:00,ANGEL DECORATION 3 BUTTONS ,48,0.42,20.16
933,22157,2010-10-03 11:15:00,ANGEL DECORATION WITH LACE PADDED,24,0.85,20.4
934,22158,2010-09-21 12:43:00,3 HEARTS HANGING DECORATION RUSTIC,40,2.95,118.0
935,22161,2010-10-28 19:37:00,HEART DECORATION RUSTIC HANGING ,354,0.3433333333333333,86.58
936,22163,2010-07-30 12:30:00,HEART STRING MEMO HOLDER HANGING,108,2.086,163.08
937,22164,2010-10-03 12:40:00,STRING OF STARS CARD HOLDER,24,2.95,70.80000000000001
938,22167,2011-01-26 12:29:00, OVAL WALL MIRROR DIAMANTE ,7,9.95,69.65
939,22168,2010-02-21 12:50:00,ORGANISER WOOD ANTIQUE WHITE ,36,8.5,306.0
940,22169,2009-12-01 12:30:00,FAMILY ALBUM WHITE PICTURE FRAME,108,8.402857142857144,892.5
941,22170,2010-03-03 12:21:00,PICTURE FRAME WOOD TRIPLE PORTRAIT,69,6.65,446.55
942,22171,2010-01-28 12:36:00,3 HOOK PHOTO SHELF ANTIQUE WHITE,52,8.386666666666667,421.6
943,22172,2009-12-18 13:35:00,METAL SHELF WITH RAIL ,12,8.5,102.0
944,22173,2010-01-22 09:19:00,METAL 4 HOOK HANGER FRENCH CHATEAU,75,2.95,221.25
945,22174,2011-11-28 11:33:00,PHOTO CUBE,12,1.65,19.799999999999997
946,22175,2010-01-07 12:34:00,PINK OWL DECORATION,126,2.87,333.3
947,22176,2010-01-07 12:34:00,BLUE OWL DECORATION,108,2.8166666666666664,280.2
948,22177,2010-01-22 09:19:00,5 HOOK BLACKBOARD ORGANISER ,3,9.95,29.849999999999998
949,22178,2010-01-22 11:41:00,VICTORIAN GLASS HANGING T-LIGHT,378,1.334,493.5
950,22179,2010-02-02 13:33:00,SET 10 LIGHTS NIGHT OWL,18,6.75,121.5
951,22180,2009-12-18 13:35:00,RETRO SPOT LAMP,50,9.838461538461537,480.09999999999997
952,22181,2011-01-26 12:29:00,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,24,0.85,20.4
953,22182,2011-07-19 09:50:00,CAKE STAND VICTORIAN FILIGREE SMALL,37,4.421428571428572,94.35
954,22183,2009-12-08 18:51:00,CAKE STAND VICTORIAN FILIGREE MED,5,6.75,33.75
955,22184,2009-12-15 12:00:00,CAKE STAND VICTORIAN FILIGREE LARGE,28,8.405555555555557,224.4
956,22185,2011-03-10 10:32:00,SLATE TILE NATURAL HANGING,36,1.65,59.39999999999999
957,22186,2009-12-01 12:30:00,RED STAR CARD HOLDER,114,2.783333333333333,312.30000000000007
958,22187,2009-12-07 13:49:00,GREEN CHRISTMAS TREE CARD HOLDER,51,3.79,161.55
959,22188,2010-04-19 13:30:00,BLACK HEART CARD HOLDER,16,3.95,63.2
960,22189,2010-02-24 10:42:00,CREAM HEART CARD HOLDER,124,3.915,469.64000000000004
961,22190,2010-04-30 11:48:00,LOCAL CAFE MUG,6,2.1,12.600000000000001
962,22191,2010-01-07 12:34:00,IVORY WALL CLOCK,116,8.405555555555557,924.8
963,22192,2010-03-15 14:15:00,BLUE DINER WALL CLOCK,44,8.257142857142856,353.6
964,22193,2010-01-07 12:34:00,RED WALL CLOCK,142,8.245000000000001,1115.2
965,22194,2010-03-15 14:15:00,BLACK DINER WALL CLOCK,6,8.5,51.0
966,22195,2009-12-01 12:30:00,LARGE HEART MEASURING SPOONS,163,1.65,268.94999999999993
967,22196,2009-12-01 12:30:00,SMALL HEART MEASURING SPOONS,144,0.85,122.39999999999999
968,22197,2009-12-15 12:00:00,"POPCORN HOLDER , SMALL ",3658,0.83375,2798.34
969,22198,2009-12-07 13:49:00,"POPCORN HOLDER , LARGE",1179,1.6131578947368421,1786.1499999999999
970,22199,2009-12-01 12:30:00,FRYING PAN RED POLKADOT ,302,4.106923076923077,1056.46
971,22200,2009-12-03 18:13:00,FRYING PAN PINK POLKADOT ,24,4.25,102.0
972,22201,2009-12-01 12:30:00,FRYING PAN BLUE POLKADOT ,156,4.083333333333333,591.0
973,22202,2009-12-03 18:13:00,MILK PAN PINK RETROSPOT,28,3.75,105.0
974,22203,2010-01-22 09:19:00,MILK PAN RED RETROSPOT,306,3.75,1147.5
975,22204,2010-05-09 12:49:00,MILK PAN BLUE RETROSPOT,156,3.6300000000000003,533.1600000000001
976,22208,2010-06-11 15:58:00,WOOD STAMP SET THANK YOU,48,1.4449999999999998,69.35999999999999
977,22209,2010-02-24 10:42:00,WOOD STAMP SET HAPPY BIRTHDAY,84,1.5328571428571427,128.76
978,22210,2010-02-24 10:42:00,WOOD STAMP SET BEST WISHES,84,1.5328571428571427,128.76
979,22211,2009-12-15 12:00:00,WOOD STAMP SET FLOWERS,96,1.4449999999999998,138.71999999999997
980,22212,2009-12-01 11:41:00,FOUR HOOK  WHITE LOVEBIRDS,68,2.1,142.8
981,22214,2010-02-22 16:58:00,CANDLE PLATE LACE WHITE,24,2.55,61.199999999999996
982,22215,2009-12-03 18:13:00,CAKE STAND WHITE TWO TIER LACE,80,8.2875,639.2
983,22216,2010-02-22 16:58:00,T-LIGHT HOLDER WHITE LACE,96,0.72,69.12
984,22217,2010-01-08 14:12:00,T-LIGHT HOLDER HANGING LACE,36,1.25,45.0
985,22218,2009-12-03 18:13:00,CAKE STAND LACE WHITE,57,4.25,242.25
986,22219,2010-05-06 17:22:00,LOVEBIRD HANGING DECORATION WHITE ,46,0.85,39.099999999999994
987,22220,2010-03-30 09:47:00,CAKE STAND LOVEBIRD 2 TIER WHITE,27,9.788888888888888,251.25
988,22221,2010-01-31 14:37:00,CAKE STAND LOVEBIRD 2 TIER PINK,21,9.95,208.95
989,22222,2010-03-30 09:47:00,CAKE PLATE LOVEBIRD WHITE,21,4.95,103.95000000000002
990,22223,2009-12-08 16:40:00,CAKE PLATE LOVEBIRD PINK,9,4.95,44.550000000000004
991,22224,2009-12-08 16:40:00,WHITE LOVEBIRD LANTERN,54,2.9500000000000006,159.3
992,22227,2011-05-16 09:40:00,HANGING HEART MIRROR DECORATION ,24,0.65,15.600000000000001
993,22228,2010-02-17 14:39:00,BUNNY WOODEN PAINTED WITH BIRD ,120,0.6528571428571429,68.88
994,22229,2010-02-17 14:39:00,BUNNY WOODEN PAINTED WITH FLOWER ,84,0.62,49.31999999999999
995,22230,2010-08-20 13:08:00,JIGSAW TREE WITH WATERING CAN,108,0.4766666666666666,38.03999999999999
996,22231,2011-10-11 14:59:00,JIGSAW TREE WITH BIRDHOUSE,12,0.59,7.08
997,22232,2011-10-11 14:59:00,JIGSAW TOADSTOOLS 3 PIECE,48,0.59,28.32
998,22233,2011-03-17 15:03:00,JIGSAW RABBIT AND BIRDHOUSE,72,0.9433333333333334,55.199999999999996
999,22236,2010-01-07 19:34:00,CAKE STAND 3 TIER MAGIC GARDEN,35,12.473076923076924,403.04999999999995
1000,22241,2010-01-28 12:36:00,GARLAND WOODEN HAPPY EASTER,156,1.25,195.0
1001,22242,2009-12-18 13:35:00,"HOOK, 5 HANGER , MAGIC TOADSTOOL",77,1.6499999999999997,127.04999999999998
1002,22243,2010-01-21 08:47:00,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",72,1.6499999999999997,118.79999999999998
1003,22244,2010-01-22 09:19:00,"HOOK, 3 HANGER ,MAGIC GARDEN",96,1.95,187.2
1004,22245,2010-01-22 13:52:00,"HOOK, 1 HANGER ,MAGIC GARDEN",108,0.85,91.8
1005,22246,2010-03-30 09:47:00,"GARLAND, MAGIC GARDEN 1.8M",48,1.95,93.6
1006,22248,2010-08-20 13:08:00,DECORATION  PINK CHICK MAGIC GARDEN,16,0.85,13.6
1007,22249,2011-04-01 14:45:00,DECORATION WHITE CHICK MAGIC GARDEN,16,0.85,13.6
1008,22250,2010-02-02 15:36:00,DECORATION  BUTTERFLY  MAGIC GARDEN,32,0.85,27.2
1009,22251,2010-03-30 09:47:00,BIRDHOUSE DECORATION MAGIC GARDEN,12,1.25,15.0
1010,22252,2011-11-22 11:04:00,BIRDCAGE DECORATION TEALIGHT HOLDER,12,1.25,15.0
1011,22254,2010-01-21 08:47:00,FELT TOADSTOOL LARGE,84,1.25,105.0
1012,22256,2010-02-02 15:36:00,FELT FARM ANIMAL CHICKEN,60,1.25,75.0
1013,22257,2011-02-14 09:45:00,FELT FARM ANIMAL SHEEP,24,1.25,30.0
1014,22260,2010-02-24 09:24:00,FELT EGG COSY BLUE RABBIT ,48,0.85,40.8
1015,22261,2010-01-22 09:19:00,FELT EGG COSY WHITE RABBIT ,36,0.85,30.599999999999998
1016,22262,2011-03-14 12:28:00,FELT EGG COSY CHICKEN,36,0.85,30.599999999999998
1017,22263,2010-05-02 14:49:00,FELT EGG COSY LADYBIRD ,24,0.85,20.4
1018,22264,2010-02-02 10:47:00,FELT FARM ANIMAL WHITE BUNNY ,24,0.85,20.4
1019,22265,2010-02-02 10:47:00,EASTER DECORATION NATURAL CHICK,48,0.65,31.200000000000003
1020,22266,2010-03-04 14:24:00,EASTER DECORATION HANGING BUNNY,728,0.3433333333333333,149.35999999999999
1021,22267,2010-02-17 14:39:00,EASTER DECORATION EGG BUNNY ,204,0.82,110.52000000000001
1022,22268,2010-02-17 14:39:00,EASTER DECORATION SITTING BUNNY,240,0.5671428571428571,77.28
1023,22269,2010-01-22 09:19:00,EGG CUP NATURAL CHICKEN,232,0.562,111.12
1024,22270,2010-02-02 10:47:00,HAPPY EASTER HANGING DECORATION,38,3.75,142.5
1025,22271,2010-02-21 12:50:00,FELTCRAFT DOLL ROSIE,119,2.95,351.05000000000007
1026,22272,2010-05-06 17:22:00,FELTCRAFT DOLL MARIA,14,2.9500000000000006,41.300000000000004
1027,22273,2010-02-24 09:24:00,FELTCRAFT DOLL MOLLY,74,2.95,218.30000000000004
1028,22274,2010-02-21 12:50:00,FELTCRAFT DOLL EMILY,170,2.8794117647058823,482.30000000000007
1029,22275,2009-12-03 18:13:00,WEEKEND BAG VINTAGE ROSE PAISLEY,46,8.429166666666667,380.8
1030,22276,2009-12-01 12:33:00,WASH BAG VINTAGE ROSE PAISLEY,66,2.55,168.29999999999998
1031,22277,2010-01-07 12:34:00,COSMETIC BAG VINTAGE ROSE PAISLEY,112,1.975,210.2
1032,22278,2009-12-07 13:49:00,OVERNIGHT BAG VINTAGE ROSE PAISLEY,131,4.886363636363637,592.45
1033,22279,2010-02-16 17:47:00,POCKET BAG BLUE PAISLEY RED SPOT,18,1.675,27.6
1034,22281,2010-02-17 14:39:00,EASTER TREE YELLOW BIRDS,16,5.95,95.2
1035,22282,2009-12-01 11:41:00,12 EGG HOUSE PAINTED WOOD,55,12.364285714285714,658.05
1036,22283,2009-12-18 13:01:00,6 EGG HOUSE PAINTED WOOD,118,7.885483870967742,906.1
